id,supplierId,supplierDocNo,docType,partialNo,period,date,dateReceived,enteredAt,enteredBy,sectionId,contractId,poId,descriptionHe,amount,cumulativePrev,cumulativeNow,retentionPct,retentionAmt,netPayable,building,status,approvedBy,attachmentId,quantity,unit,unitPrice
1049,SUP-PUMP,202604-PUM,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,משאבות בטון — אפריל 2026,12110,,,0,0,12110,משותף,שולם,EYAL,,1,חודש,12110
1050,SUP-FENCE,202604-FEN,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,גדרות ושערי אתר — אפריל 2026,2120,,,0,0,2120,משותף,שולם,EYAL,,1,חודש,2120
1051,SUP-OFFICE,202604-OFF,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,השכרת משרדי אתר — אפריל 2026,6200,,,0,0,6200,משותף,שולם,EYAL,,1,חודש,6200
1052,SUP-COMMS,202604-COM,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,תקשורת ושילוט — אפריל 2026,1380,,,0,0,1380,משותף,שולם,EYAL,,1,חודש,1380
1053,SUP-GEN,202604-GEN,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,השכרת גנרטור וציוד — אפריל 2026,4200,,,0,0,4200,משותף,שולם,EYAL,,1,חודש,4200
1054,SUP-BM,שלד-6,חשבון חלקי,6,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,02,02-01,,"חשבון חלקי מס׳ 6 — עבודות שלד, אפריל 2026",950000,3500000,4450000,5,47500,902500,B,שולם,EYAL,,,,
1055,SUP-DORON,עפר-סופי,חשבון סופי,7,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,04,04-01,,"חשבון סופי — עבודות עפר, דיפון וכלונסאות (סגירת חוזה 04-01)",100000,2750000,2850000,5,5000,95000,משותף,שולם,EYAL,,,,
1056,SUP-NTB,2026-055,חשבון חלקי,3,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,07,07-01,,חשבון חלקי מס׳ 3 — עבודות פיתוח ותשתיות חוץ,450000,650000,1100000,5,22500,427500,משותף,שולם,EYAL,,,,
1057,INTERNAL,הקצאה-6,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,18,,,"הקצאת הנהלה, פיקוח, ביטוח ואגרות — אפריל 2026",210000,,,0,0,210000,משותף,שולם,EYAL,,,,
1058,SUP-PLADOT,ת.מ. 4480,חשבונית מס,,2026-05,2026-05-07,2026-05-07,2026-05-08,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 25 טון,100000,,,0,0,100000,A,שולם,EYAL,,25,טון,4000
1059,SUP-PLADOT,ת.מ. 4487,חשבונית מס,,2026-05,2026-05-21,2026-05-21,2026-05-22,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 26 טון,104000,,,0,0,104000,B,שולם,EYAL,,26,טון,4000
1060,SUP-CRANE,202605-CRA,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,השכרת מנוף צריח — מאי 2026,29340,,,0,0,29340,משותף,שולם,EYAL,,1,חודש,29340
1061,SUP-GUARD,202605-GUA,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,שמירה באתר — מאי 2026,16630,,,0,0,16630,משותף,שולם,EYAL,,1,חודש,16630
1062,SUP-TOILET,202605-TOI,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,שירותים ניידים — מאי 2026,2480,,,0,0,2480,משותף,שולם,EYAL,,1,חודש,2480
1063,SUP-SCAFF,202605-SCA,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,השכרת פיגומים — מאי 2026,11620,,,0,0,11620,משותף,שולם,EYAL,,1,חודש,11620
1064,SUP-FORM,202605-FOR,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,השכרת טפסות ותמיכות — מאי 2026,14470,,,0,0,14470,משותף,שולם,EYAL,,1,חודש,14470
1065,SUP-UTIL,202605-UTI,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,חשמל ומים לאתר — מאי 2026,5630,,,0,0,5630,משותף,שולם,EYAL,,1,חודש,5630
1066,SUP-LAB,202605-LAB,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,בדיקות בטון וקרקע — מאי 2026,3780,,,0,0,3780,משותף,שולם,EYAL,,1,חודש,3780
1067,SUP-SURVEY,202605-SUR,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,מדידות — מאי 2026,3370,,,0,0,3370,משותף,שולם,EYAL,,1,חודש,3370
1068,SUP-SAFETY,202605-SAF,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,ייעוץ בטיחות — מאי 2026,3130,,,0,0,3130,משותף,שולם,EYAL,,1,חודש,3130
1069,SUP-WASTE,202605-WAS,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,פינוי פסולת בניין — מאי 2026,5030,,,0,0,5030,משותף,שולם,EYAL,,1,חודש,5030
1070,SUP-PUMP,202605-PUM,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,משאבות בטון — מאי 2026,12710,,,0,0,12710,משותף,שולם,EYAL,,1,חודש,12710
1071,SUP-FENCE,202605-FEN,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,גדרות ושערי אתר — מאי 2026,1980,,,0,0,1980,משותף,שולם,EYAL,,1,חודש,1980
1072,SUP-OFFICE,202605-OFF,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,השכרת משרדי אתר — מאי 2026,5860,,,0,0,5860,משותף,שולם,EYAL,,1,חודש,5860
1073,SUP-COMMS,202605-COM,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,תקשורת ושילוט — מאי 2026,1520,,,0,0,1520,משותף,שולם,EYAL,,1,חודש,1520
1074,SUP-GEN,202605-GEN,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,01,,,השכרת גנרטור וציוד — מאי 2026,4750,,,0,0,4750,משותף,שולם,EYAL,,1,חודש,4750
1075,SUP-BM,שלד-7,חשבון חלקי,7,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,02,02-01,,"חשבון חלקי מס׳ 7 — עבודות שלד, מאי 2026",1000000,4450000,5450000,5,50000,950000,A,שולם,EYAL,,,,
1076,SUP-NTB,2026-062,חשבון חלקי,4,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,07,07-01,,חשבון חלקי מס׳ 4 — עבודות פיתוח ותשתיות חוץ,400000,1100000,1500000,5,20000,380000,משותף,שולם,EYAL,,,,
1077,INTERNAL,הקצאה-7,חשבונית מס,,2026-05,2026-05-31,2026-05-31,2026-06-02,SARIT,18,,,"הקצאת הנהלה, פיקוח, ביטוח ואגרות — מאי 2026",210000,,,0,0,210000,משותף,שולם,EYAL,,,,
1078,SUP-PLADOT,ת.מ. 4494,חשבונית מס,,2026-06,2026-06-04,2026-06-04,2026-06-05,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 24 טון,96000,,,0,0,96000,A,שולם,EYAL,,24,טון,4000
1079,SUP-PLADOT,ת.מ. 4501,חשבונית מס,,2026-06,2026-06-18,2026-06-18,2026-06-19,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 23 טון,92000,,,0,0,92000,B,שולם,EYAL,,23,טון,4000
1080,SUP-CRANE,202606-CRA,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,מנוף צריח — שלד בניין A,31090,,,0,0,31090,משותף,שולם,EYAL,,1,חודש,31090
1081,SUP-GUARD,202606-GUA,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,שמירה באתר — יוני 2026,17950,,,0,0,17950,משותף,שולם,EYAL,,1,חודש,17950
1082,SUP-TOILET,202606-TOI,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,שירותים ניידים — יוני 2026,2610,,,0,0,2610,משותף,שולם,EYAL,,1,חודש,2610
1083,SUP-SCAFF,202606-SCA,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,השכרת פיגומים — יוני 2026,12410,,,0,0,12410,משותף,שולם,EYAL,,1,חודש,12410
1084,SUP-FORM,202606-FOR,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,השכרת טפסות ותמיכות — יוני 2026,15550,,,0,0,15550,משותף,שולם,EYAL,,1,חודש,15550
1085,SUP-UTIL,202606-UTI,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,חשמל ומים לאתר — יוני 2026,6100,,,0,0,6100,משותף,שולם,EYAL,,1,חודש,6100
1086,SUP-LAB,202606-LAB,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,בדיקות בטון וקרקע — יוני 2026,4260,,,0,0,4260,משותף,שולם,EYAL,,1,חודש,4260
1087,SUP-SURVEY,202606-SUR,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,מדידות — יוני 2026,3730,,,0,0,3730,משותף,שולם,EYAL,,1,חודש,3730
1088,SUP-SAFETY,202606-SAF,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,ייעוץ בטיחות — יוני 2026,3220,,,0,0,3220,משותף,שולם,EYAL,,1,חודש,3220
1089,SUP-WASTE,202606-WAS,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,פינוי פסולת בניין — יוני 2026,5330,,,0,0,5330,משותף,שולם,EYAL,,1,חודש,5330
1090,SUP-PUMP,202606-PUM,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,משאבות בטון — יוני 2026,11880,,,0,0,11880,משותף,שולם,EYAL,,1,חודש,11880
1091,SUP-FENCE,202606-FEN,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,גדרות ושערי אתר — יוני 2026,2140,,,0,0,2140,משותף,שולם,EYAL,,1,חודש,2140
1092,SUP-OFFICE,202606-OFF,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,השכרת משרדי אתר — יוני 2026,6040,,,0,0,6040,משותף,שולם,EYAL,,1,חודש,6040
1093,SUP-COMMS,202606-COM,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,תקשורת ושילוט — יוני 2026,1450,,,0,0,1450,משותף,שולם,EYAL,,1,חודש,1450
1094,SUP-GEN,202606-GEN,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,01,,,השכרת גנרטור וציוד — יוני 2026,4670,,,0,0,4670,משותף,שולם,EYAL,,1,חודש,4670
1095,SUP-BM,שלד-8,חשבון חלקי,8,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,02,02-01,,"חשבון חלקי מס׳ 8 — עבודות שלד, יוני 2026",1000000,5450000,6450000,5,50000,950000,B,שולם,EYAL,,,,
1096,SUP-ITUM,איטום-1,חשבון חלקי,1,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,05,05-01,,חשבון חלקי מס׳ 1 — איטום יסודות וקירות תת-קרקעיים,90000,0,90000,5,4500,85500,A,שולם,EYAL,,,,
1097,SUP-NTB,2026-069,חשבון חלקי,5,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,07,07-01,,חשבון חלקי מס׳ 5 — עבודות פיתוח ותשתיות חוץ,350000,1500000,1850000,5,17500,332500,משותף,שולם,EYAL,,,,
1098,INTERNAL,הקצאה-8,חשבונית מס,,2026-06,2026-06-30,2026-06-30,2026-07-02,SARIT,18,,,"הקצאת הנהלה, פיקוח, ביטוח ואגרות — יוני 2026",210000,,,0,0,210000,משותף,שולם,EYAL,,,,
1099,SUP-PLADOT,ת.מ. 4508,חשבונית מס,,2026-07,2026-07-02,2026-07-02,2026-07-03,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 24 טון,96000,,,0,0,96000,A,שולם,EYAL,,24,טון,4000
1100,SUP-PLADOT,ת.מ. 4515,חשבונית מס,,2026-07,2026-07-16,2026-07-16,2026-07-17,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 22 טון,88000,,,0,0,88000,B,אושר,EYAL,,22,טון,4000
1101,SUP-CRANE,202607-CRA,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,השכרת מנוף צריח — יולי 2026,28280,,,0,0,28280,משותף,אושר,EYAL,,1,חודש,28280
1102,SUP-GUARD,202607-GUA,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,שמירה באתר — יולי 2026,18410,,,0,0,18410,משותף,אושר,EYAL,,1,חודש,18410
1103,SUP-TOILET,202607-TOI,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,שירותים ניידים — יולי 2026,2500,,,0,0,2500,משותף,אושר,EYAL,,1,חודש,2500
1104,SUP-SCAFF,202607-SCA,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,השכרת פיגומים — יולי 2026,12380,,,0,0,12380,משותף,אושר,EYAL,,1,חודש,12380
1105,SUP-FORM,202607-FOR,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,השכרת טפסות ותמיכות — יולי 2026,15770,,,0,0,15770,משותף,אושר,EYAL,,1,חודש,15770
1106,SUP-UTIL,202607-UTI,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,חשמל ומים לאתר — יולי 2026,6100,,,0,0,6100,משותף,אושר,EYAL,,1,חודש,6100
1107,SUP-LAB,202607-LAB,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,בדיקות בטון וקרקע — יולי 2026,4040,,,0,0,4040,משותף,אושר,EYAL,,1,חודש,4040
1108,SUP-SURVEY,202607-SUR,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,מדידות — יולי 2026,3430,,,0,0,3430,משותף,אושר,EYAL,,1,חודש,3430
1109,SUP-SAFETY,202607-SAF,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,ייעוץ בטיחות — יולי 2026,3170,,,0,0,3170,משותף,אושר,EYAL,,1,חודש,3170
1110,SUP-WASTE,202607-WAS,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,פינוי פסולת בניין — יולי 2026,4930,,,0,0,4930,משותף,אושר,EYAL,,1,חודש,4930
1111,SUP-PUMP,202607-PUM,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,משאבות בטון — יולי 2026,12820,,,0,0,12820,משותף,אושר,EYAL,,1,חודש,12820
1112,SUP-FENCE,202607-FEN,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,גדרות ושערי אתר — יולי 2026,1910,,,0,0,1910,משותף,אושר,EYAL,,1,חודש,1910
1113,SUP-OFFICE,202607-OFF,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,השכרת משרדי אתר — יולי 2026,6110,,,0,0,6110,משותף,אושר,EYAL,,1,חודש,6110
1114,SUP-COMMS,202607-COM,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,תקשורת ושילוט — יולי 2026,1440,,,0,0,1440,משותף,אושר,EYAL,,1,חודש,1440
1115,SUP-GEN,202607-GEN,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,01,,,השכרת גנרטור וציוד — יולי 2026,4550,,,0,0,4550,משותף,אושר,EYAL,,1,חודש,4550
1116,SUP-BM,שלד-9,חשבון חלקי,9,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,02,02-01,,"חשבון חלקי מס׳ 9 — עבודות שלד, יולי 2026",1000000,6450000,7450000,5,50000,950000,A,אושר,EYAL,,,,
1117,SUP-ITUM,איטום-2,חשבון חלקי,2,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,05,05-01,,חשבון חלקי מס׳ 2 — איטום יסודות וקירות תת-קרקעיים,110000,90000,200000,5,5500,104500,A,אושר,EYAL,,,,
1118,SUP-NTB,2026-076,חשבון חלקי,6,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,07,07-01,,חשבון חלקי מס׳ 6 — עבודות פיתוח ותשתיות חוץ,250000,1850000,2100000,5,12500,237500,משותף,אושר,EYAL,,,,
1119,SUP-SHY,אינ-1,חשבון חלקי,1,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,08,08-01,,"חשבון חלקי מס׳ 1 — אינסטלציה, צנרת תת-קרקעית ושרוולים",150000,0,150000,5,7500,142500,A,אושר,EYAL,,,,
1120,SUP-AR,חש-1,חשבון חלקי,1,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,09,09-01,,"חשבון חלקי מס׳ 1 — חשמל, שרוולים והארקות יסוד",120000,0,120000,5,6000,114000,A,אושר,EYAL,,,,
1121,INTERNAL,הקצאה-9,חשבונית מס,,2026-07,2026-07-31,2026-07-31,2026-08-02,SARIT,18,,,"הקצאת הנהלה, פיקוח, ביטוח ואגרות — יולי 2026",210000,,,0,0,210000,משותף,אושר,EYAL,,,,
1122,SUP-PLADOT,ת.מ. 4522,חשבונית מס,,2026-08,2026-08-12,2026-08-12,2026-08-13,SARIT,03,03-F,2240,אספקת ברזל זיון מצולע — 35 טון,140000,,,0,0,140000,A,אושר,EYAL,,35,טון,4000
1123,SUP-GAL,בנייה-1,חשבון חלקי,1,2026-08,2026-08-25,2026-08-25,2026-08-26,SARIT,06,06-01,,"חשבון חלקי מס׳ 1 — בנייה בבלוקים, קומות 1–3 בניין A",180000,0,180000,5,9000,171000,A,אושר,EYAL,,,,
1124,SUP-BM,שלד-10,חשבון חלקי,10,2026-08,2026-08-28,2026-08-28,2026-08-29,SARIT,02,02-01,,"חשבון חלקי מס׳ 10 — עבודות שלד, אוגוסט 2026",950000,7450000,8400000,5,47500,902500,B,אושר,EYAL,,,,
1125,SUP-PLADOT,ת.מ. 4529,חשבונית מס,,2026-08,2026-08-28,2026-08-28,2026-08-29,SARIT,03,03-F,2240,אספקת ברזל זיון מצולע — 25 טון,100000,,,0,0,100000,B,אושר,EYAL,,25,טון,4000
1126,SUP-ITUM,איטום-3,חשבון חלקי,3,2026-08,2026-08-28,2026-08-28,2026-08-29,SARIT,05,05-01,,חשבון חלקי מס׳ 3 — איטום יסודות וקירות תת-קרקעיים,120000,200000,320000,5,6000,114000,A,אושר,EYAL,,,,
1127,SUP-SHY,אינ-2,חשבון חלקי,2,2026-08,2026-08-29,2026-08-29,2026-08-30,SARIT,08,08-01,,"חשבון חלקי מס׳ 2 — אינסטלציה, צנרת תת-קרקעית ושרוולים",200000,150000,350000,5,10000,190000,B,אושר,EYAL,,,,
1128,SUP-AR,חש-2,חשבון חלקי,2,2026-08,2026-08-29,2026-08-29,2026-08-30,SARIT,09,09-01,,"חשבון חלקי מס׳ 2 — חשמל, שרוולים והארקות יסוד",160000,120000,280000,5,8000,152000,B,אושר,EYAL,,,,
1129,SUP-ITUM,איטום-4,חשבון חלקי,4,2026-08,2026-08-30,2026-08-30,2026-09-01,SARIT,05,05-01,,חשבון חלקי מס׳ 4 — איטום מרפסות בניין A,60000,320000,380000,5,3000,57000,A,בבדיקה,,,,,
1130,SUP-LAB,202608-LABX,חשבונית מס,,2026-08,2026-08-30,2026-08-30,2026-09-01,SARIT,01,,,בדיקות נוספות — קורות קומה 7 בניין A,4500,,,0,0,4500,A,בבדיקה,,,1,חודש,4500
1131,SUP-CRANE,202608-CRA,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,השכרת מנוף צריח — אוגוסט 2026,30560,,,0,0,30560,משותף,אושר,EYAL,,1,חודש,30560
1132,SUP-GUARD,202608-GUA,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,שמירה באתר — אוגוסט 2026,17860,,,0,0,17860,משותף,אושר,EYAL,,1,חודש,17860
1133,SUP-TOILET,202608-TOI,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,שירותים ניידים — אוגוסט 2026,2630,,,0,0,2630,משותף,אושר,EYAL,,1,חודש,2630
1134,SUP-SCAFF,202608-SCA,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,השכרת פיגומים — אוגוסט 2026,11540,,,0,0,11540,משותף,אושר,EYAL,,1,חודש,11540
1135,SUP-FORM,202608-FOR,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,השכרת טפסות ותמיכות — אוגוסט 2026,15390,,,0,0,15390,משותף,אושר,EYAL,,1,חודש,15390
1136,SUP-UTIL,202608-UTI,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,חשמל ומים לאתר — אוגוסט 2026,5840,,,0,0,5840,משותף,אושר,EYAL,,1,חודש,5840
1137,SUP-LAB,202608-LAB,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,בדיקות בטון וקרקע — אוגוסט 2026,4150,,,0,0,4150,משותף,אושר,EYAL,,1,חודש,4150
1138,SUP-SURVEY,202608-SUR,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,מדידות — אוגוסט 2026,3570,,,0,0,3570,משותף,אושר,EYAL,,1,חודש,3570
1139,SUP-SAFETY,202608-SAF,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,ייעוץ בטיחות — אוגוסט 2026,3140,,,0,0,3140,משותף,אושר,EYAL,,1,חודש,3140
1140,SUP-WASTE,202608-WAS,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,פינוי פסולת בניין — אוגוסט 2026,5220,,,0,0,5220,משותף,אושר,EYAL,,1,חודש,5220
1141,SUP-PUMP,202608-PUM,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,משאבות בטון — אוגוסט 2026,12840,,,0,0,12840,משותף,אושר,EYAL,,1,חודש,12840
1142,SUP-FENCE,202608-FEN,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,גדרות ושערי אתר — אוגוסט 2026,2010,,,0,0,2010,משותף,אושר,EYAL,,1,חודש,2010
1143,SUP-OFFICE,202608-OFF,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,השכרת משרדי אתר — אוגוסט 2026,5630,,,0,0,5630,משותף,אושר,EYAL,,1,חודש,5630
1144,SUP-COMMS,202608-COM,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,תקשורת ושילוט — אוגוסט 2026,1410,,,0,0,1410,משותף,אושר,EYAL,,1,חודש,1410
1145,SUP-GEN,202608-GEN,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,01,,,השכרת גנרטור וציוד — אוגוסט 2026,-650,,,0,0,-650,משותף,אושר,EYAL,,1,חודש,-650
1146,SUP-GAL,בנייה-2,חשבון חלקי,2,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,06,06-01,,"חשבון חלקי מס׳ 2 — בנייה בבלוקים, קומה 4 בניין A",95000,180000,275000,5,4750,90250,A,בבדיקה,,,,,
1147,SUP-NTB,2026-087,חשבון חלקי,7,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,07,07-01,,"עבודות עפר וקווי ניקוז — פיתוח חוץ, שלב א׳",180000,2100000,2280000,5,9000,171000,,אושר,EYAL,inv_1147_ntb_partial7,,,
1148,SUP-SHY,אינ-3,חשבון חלקי,3,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,08,08-01,,"חשבון חלקי מס׳ 3 — אינסטלציה, צנרת תת-קרקעית ושרוולים",120000,350000,470000,5,6000,114000,A,בבדיקה,,,,,
1149,SUP-AR,חש-3,חשבון חלקי,3,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,09,09-01,,"חשבון חלקי מס׳ 3 — חשמל, שרוולים והארקות יסוד",140000,280000,420000,5,7000,133000,A,בבדיקה,,,,,
1150,INTERNAL,הקצאה-10,חשבונית מס,,2026-08,2026-08-31,2026-08-31,2026-09-02,SARIT,18,,,"הקצאת הנהלה, פיקוח, ביטוח ואגרות — אוגוסט 2026",210000,,,0,0,210000,משותף,אושר,EYAL,,,,
